
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,
0,317.810,479.730,222.930,1227.223,515.714,186.874,410.439,825.148,959.472,761.200,217.821,742.796,477.148,925.175,273.263,977.099,971.262,817.380,1081.237,338.247,1044.384,367.437,1221.937,930.354,512.875,1071.713,314.226,646.400,820.103,298.643,293.803,325.556,243.722,614.969,621.643,387.922,738.804,574.577,554.363,694.015,598.647,319.241,379.077,621.756,483.706,427.914,243.815,600.518,222.334,1065.138,289.013,404.237,625.088,308.268,1258.804,998.242,789.007,872.056,761.746,556.848,491.412,353.241,426.371,310.298,460.366,279.564,960.322,623.441,247.355,283.376,237.249,268.786,196.767,260.237,208.014,445.474,419.977,224.319,379.630,1095.454,188.769,238.229,222.249,334.624,
1000,376.841,500.568,202.108,1024.940,537.104,195.739,397.680,807.184,713.166,887.202,228.737,610.735,343.224,741.045,248.836,951.299,812.161,635.429,931.430,269.107,1005.862,367.678,1066.231,818.953,528.689,1130.417,364.866,462.217,837.934,259.876,251.404,264.228,205.311,491.675,822.423,404.561,861.295,842.991,458.262,593.352,457.440,365.697,354.785,500.463,628.393,395.186,261.991,1050.507,234.850,1100.239,273.284,270.036,579.418,301.137,1092.745,924.153,662.071,774.894,734.766,627.941,511.033,363.925,425.688,220.801,444.265,238.452,998.134,609.784,247.646,306.889,219.957,270.553,201.731,245.844,199.531,418.090,359.647,240.837,434.438,923.599,193.004,259.335,318.387,333.732,
2000,338.573,477.527,268.529,904.689,487.950,200.733,374.337,736.021,612.991,735.833,214.051,472.569,291.947,692.733,226.241,785.178,587.669,493.718,777.050,282.404,840.470,336.836,874.080,636.680,489.691,956.002,274.453,390.010,660.079,243.995,213.761,248.486,191.073,443.595,768.129,343.243,826.837,809.315,500.500,553.609,347.285,375.558,308.883,379.414,375.572,250.002,245.238,882.536,282.750,952.129,261.480,244.072,494.806,296.952,881.208,755.030,549.454,653.560,655.116,653.832,325.581,301.019,367.431,218.403,375.588,248.788,912.289,559.209,261.750,259.356,239.088,253.650,196.306,223.539,193.664,315.394,316.454,221.139,408.169,904.141,182.418,231.602,238.424,345.897,
3000,335.116,460.124,196.889,750.498,470.576,193.528,339.945,616.593,555.354,676.046,202.185,404.978,288.377,580.778,211.391,661.935,452.900,401.308,579.462,246.716,760.850,259.624,686.083,571.116,469.203,846.545,296.175,353.897,629.833,203.544,232.092,235.549,178.423,392.778,561.584,313.370,670.535,721.749,340.272,512.084,291.744,378.299,242.830,331.157,346.839,236.180,250.185,606.105,267.539,842.602,248.264,218.814,388.134,286.179,790.582,672.254,506.246,623.592,587.378,582.857,314.595,291.102,362.611,203.454,275.507,228.502,839.843,481.063,226.593,258.634,213.551,256.315,197.645,227.735,189.678,253.159,280.020,235.231,356.990,580.411,180.394,243.395,248.893,289.356,
4000,307.150,397.641,190.799,718.253,428.087,190.737,322.343,570.406,441.075,592.434,176.415,350.954,252.646,558.065,191.077,564.087,341.164,353.558,485.980,223.396,658.868,229.780,597.660,479.246,464.893,650.337,275.065,313.202,517.964,209.826,206.972,231.201,178.883,415.794,424.443,238.928,564.143,600.219,298.294,456.794,241.130,313.086,228.340,302.998,297.222,221.980,237.561,580.460,266.136,693.214,219.163,227.872,316.334,257.575,726.876,584.539,451.829,525.750,494.882,470.908,285.465,237.972,335.159,191.928,251.940,228.223,787.141,377.034,195.603,234.769,212.280,205.236,205.874,192.250,171.590,225.245,241.293,220.141,301.590,501.325,185.915,204.045,227.338,258.818,
5000,320.429,372.813,190.423,625.474,388.314,200.792,283.875,519.013,461.452,517.864,182.123,316.982,237.123,477.361,195.583,490.381,323.141,340.970,430.899,225.844,588.928,230.200,564.945,418.475,425.591,572.802,249.417,302.843,495.324,213.229,209.808,226.784,170.880,382.600,320.596,238.879,510.804,527.368,203.517,472.767,239.366,289.290,220.055,269.643,289.091,228.886,223.542,535.219,235.763,613.920,239.652,216.533,281.071,272.764,701.710,577.080,446.363,491.803,455.251,410.998,242.305,231.093,318.170,194.144,252.576,225.943,752.101,382.139,191.149,217.076,208.308,223.273,205.098,188.205,173.727,214.453,255.832,206.396,269.199,444.069,176.049,203.902,225.502,232.913,
6000,339.536,355.095,178.836,622.788,397.340,194.530,281.795,478.133,437.440,438.863,174.495,301.304,236.897,469.832,174.996,439.799,312.521,312.468,406.241,210.905,543.657,238.275,476.436,390.472,422.877,545.649,227.623,289.241,455.268,215.907,213.776,216.388,160.022,405.888,258.484,236.604,454.247,481.517,240.831,413.861,221.342,296.199,188.568,262.216,296.246,205.502,148.428,472.863,246.596,586.570,223.738,204.973,267.783,266.356,642.468,531.590,464.615,476.361,419.774,357.193,233.885,236.422,314.137,193.825,213.482,218.707,632.454,324.884,189.808,217.314,187.301,219.394,191.312,177.573,173.819,201.676,224.675,212.307,253.296,532.465,180.243,208.185,209.533,228.376,
7000,274.027,336.845,182.277,546.458,385.272,184.172,280.759,436.658,382.603,437.284,179.712,291.785,230.133,455.128,186.555,417.766,292.742,289.419,378.631,220.670,510.277,217.390,433.723,375.883,437.736,555.495,234.055,279.878,417.701,196.357,219.642,205.568,180.481,388.666,260.608,224.252,429.767,471.207,243.499,419.619,217.558,324.460,188.666,239.252,237.091,202.193,152.672,436.683,206.623,544.137,238.677,197.341,252.541,258.053,580.214,535.415,459.339,460.365,389.032,334.443,210.308,227.286,303.024,197.591,201.925,215.070,606.720,308.761,195.071,220.774,197.778,193.277,186.770,186.044,180.436,190.177,226.258,199.704,216.593,445.938,172.606,195.888,191.712,223.771,
8000,270.080,331.838,189.248,580.802,375.889,185.405,286.381,471.113,420.815,439.334,180.911,299.482,243.360,435.345,180.661,382.985,277.832,310.688,375.365,230.322,462.387,214.020,419.588,385.191,452.101,515.446,234.206,269.312,429.078,197.204,213.628,209.788,182.758,377.690,240.547,227.523,408.964,440.251,230.160,389.374,218.437,343.769,181.315,245.250,242.549,200.443,149.983,426.896,217.819,513.513,227.207,207.391,240.825,243.604,562.272,485.290,411.340,475.847,386.181,317.345,256.095,221.573,298.387,194.915,200.451,209.788,572.504,315.628,184.290,196.446,186.424,180.609,196.232,184.206,175.793,189.864,229.170,196.270,215.852,432.927,179.189,186.626,184.130,210.780,
