Detailed,,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
87.44,207.78,39.57,um,Spot,Position,1,1000000000,0
88.21,229.87,49.52,um,Spot,Position,1,1000000001,1
88.62,271.07,35.23,um,Spot,Position,1,1000000002,2
92.39,136.44,47.27,um,Spot,Position,1,1000000003,3
94.81,60.77,46.76,um,Spot,Position,1,1000000004,4
101.07,87.81,50.85,um,Spot,Position,1,1000000005,5
105.29,228.77,20.68,um,Spot,Position,1,1000000006,6
105.27,288.03,29.82,um,Spot,Position,1,1000000007,7
108.20,325.33,32.17,um,Spot,Position,1,1000000008,8
113.18,45.78,30.35,um,Spot,Position,1,1000000009,9
116.82,330.71,41.17,um,Spot,Position,1,1000000010,10
119.66,75.84,41.25,um,Spot,Position,1,1000000011,11
119.33,306.66,20.37,um,Spot,Position,1,1000000012,12
126.86,170.71,19.17,um,Spot,Position,1,1000000013,13
127.73,167.32,31.56,um,Spot,Position,1,1000000014,14
128.32,287.06,17.40,um,Spot,Position,1,1000000015,15
130.02,326.83,26.25,um,Spot,Position,1,1000000016,16
134.74,216.57,24.86,um,Spot,Position,1,1000000017,17
141.15,199.10,11.64,um,Spot,Position,1,1000000018,18
145.85,273.80,11.88,um,Spot,Position,1,1000000019,19
148.51,338.52,16.60,um,Spot,Position,1,1000000020,20
149.38,79.12,14.14,um,Spot,Position,1,1000000021,21
152.94,128.20,10.35,um,Spot,Position,1,1000000022,22
154.26,316.92,12.73,um,Spot,Position,1,1000000023,23
155.64,200.13,12.11,um,Spot,Position,1,1000000024,24
155.79,255.39,19.01,um,Spot,Position,1,1000000025,25
157.33,144.10,19.30,um,Spot,Position,1,1000000026,26
163.54,159.12,10.99,um,Spot,Position,1,1000000027,27
166.18,348.40,2.94,um,Spot,Position,1,1000000028,28
168.95,246.46,22.63,um,Spot,Position,1,1000000029,29
169.68,311.51,9.35,um,Spot,Position,1,1000000030,30
171.08,303.48,23.42,um,Spot,Position,1,1000000031,31
171.69,259.88,11.10,um,Spot,Position,1,1000000032,32
178.16,155.51,15.32,um,Spot,Position,1,1000000033,33
180.30,212.87,13.29,um,Spot,Position,1,1000000034,34
187.86,353.90,20.56,um,Spot,Position,1,1000000035,35
189.74,85.38,8.37,um,Spot,Position,1,1000000036,36
192.13,298.41,10.15,um,Spot,Position,1,1000000037,37
194.42,242.98,24.32,um,Spot,Position,1,1000000038,38
195.08,262.71,11.12,um,Spot,Position,1,1000000039,39
200.88,195.52,12.31,um,Spot,Position,1,1000000040,40
213.05,324.02,19.18,um,Spot,Position,1,1000000041,41
213.59,182.04,14.84,um,Spot,Position,1,1000000042,42
213.23,240.81,13.45,um,Spot,Position,1,1000000043,43
216.63,289.56,9.91,um,Spot,Position,1,1000000044,44
217.29,202.59,19.28,um,Spot,Position,1,1000000045,45
218.65,116.87,12.79,um,Spot,Position,1,1000000046,46
221.15,146.32,16.65,um,Spot,Position,1,1000000047,47
226.02,252.61,16.07,um,Spot,Position,1,1000000048,48
227.76,212.51,19.82,um,Spot,Position,1,1000000049,49
229.36,112.06,26.08,um,Spot,Position,1,1000000050,50
230.07,44.04,11.36,um,Spot,Position,1,1000000051,51
229.72,299.75,21.04,um,Spot,Position,1,1000000052,52
234.92,228.92,15.34,um,Spot,Position,1,1000000053,53
237.07,316.89,13.24,um,Spot,Position,1,1000000054,54
237.80,173.51,22.53,um,Spot,Position,1,1000000055,55
238.27,345.19,18.58,um,Spot,Position,1,1000000056,56
240.69,97.35,16.67,um,Spot,Position,1,1000000057,57
241.72,54.13,22.79,um,Spot,Position,1,1000000058,58
242.12,245.76,20.31,um,Spot,Position,1,1000000059,59
